river,run
Pine Creek,Ansonia to Blackwell
Piney Creek,Little Piney Creek to Boynton
Pithole Creek,Pithole to Oleopolis
Pocono Creek,Tannersville (PA Route 715) to Stroudsburg (Main St.)
Quemahoning Creek,Boswell to Reservoir
Rattling Run,Cow Patty Falls to Roaring Run Confluence
Raymondskill Creek,SR 2009 to Rte. 209
Roaring Brook,Elmhurst to confluence of Lackawanna
"Roaring Creek, S. Branch",Bear Gap (T309) to Roaring Creek
Roaring Creek,Slabtown to Susquehanna River
Roaring Fork,Rt 160 Bridge to confluence with Shade Creek
Schrader Creek,T359 to Towanda Creek
Schuylkill,Flat Rock Dam
Scrubgrass Creek,Route 308 to Allegheny River
Sewickley Creek,Yukon to Youghiogheny
Shade Creek,Confluence of Dark and Clear Shade to Stony Creek
Shohola Creek,Shohola Falls Park to Mouth (at Delaware R.)
Sideling Hill Creek,PA Rte 915 to LR31009
Slate Run,Picnic area to Pine Creek
Slippery Rock Creek,"1. Kennedy Mill (Frew Mill Rd., SR 1012) to Eckert's Bridge"
Slippery Rock Creek,"2. Eckert's Bridge to Harris Bridge (Mountville Rd, SR 2030)"
Smithtown Creek,to the Delaware
South Sandy Creek,State Game Lands # 39 to Pecan
Spring Brook,Nesbitt Reservoir to Moosic
Squaw Valley,"Emlenton, PA-Squaw Valley Road to 268 (right below I-80)"
Stony Fork Creek,State Forest Picnic Area to Babb Creek
Stonycreek River,1 - Stony Gorge
Stonycreek River,2 - Hollsopple to Foustwell
Stonycreek River,3 - Stony Canyon
Sugar Creek,LR08014 TO LR0817
Susquehanna River,Holtwood
Susquehanna River,Marietta to Columbia
Susquehanna River,Saginaw Railroad Bridge
Tioga,T431 to Lambs Creek Recreation Area
Toby,Maxwell RD to Miola Boat launch on Clarion River
Tohickon Creek,"Quakertown (Thatcher Road, LR09082) to PA Route 563"
Tohickon Creek,Ralph Stover State Park to Point Pleasant (PA Route 32)
"Towanda Creek, S. Branch",New Albany (LR08009) to Susquehanna
Town Creek,Chaneysville to I-68 (Maryland)
Tubmill Creek,Rte 711 to Bolivar
Tunkhannock Creek,PA Route 115 to PA Route 940
Twelve Mile Creek,Sawmill Rd to Lake Erie
Unami Creek,Nursery Road 7334 to mouth
Van Campens Mill Creek,To Delaware
"Wallenpaupack Creek, E. Branch",Sawmill Road (T372) to mouth
Wallenpaupack Creek,Mountainview Road to Ledgedale Road (LR51036)
Walnut Creek,Cherry St Ext to Millcreek Mall
Walnut Creek,Millfair Road to Lake Erie
Wapwallopen Creek,LR40022 to Camp Keller
Wapwallopen Creek,SR 3013 to Rt. 239
White Deer Creek,Coopers Mill Road to W.Br.Susquehanna
Whites Creek,Listonburg (Whites Creek Road) to Casselman River
Wildcat Creek,Wildcat Creek into the Delaware
Wills Creek,Fairhope to Hyndman
Yellow Creek,"Loysburg to Raystown Branch, Juniata River"
Young Womans Creek,LR18020 to PA Route 120
